X_Target,Y_Target
-61.16504288,0
-61.02615356,0
-60.88726425,0
-60.74837494,0
-60.60948563,0
-60.47059631,0
-60.331707,0
-60.1928215,0
-60.05393219,0
-59.91504288,0
-59.77615356,0
-59.63726425,0
-59.49837494,0
-59.35948563,0
-59.22059631,0
-59.081707,0
-58.94281769,0
-58.80393219,0
-58.66504288,0
-58.52615356,0
-58.38726425,0
-58.24837494,0
-58.10948563,0
-57.97059631,0
-57.831707,0
-57.69281769,0
-57.55392838,0
-57.41504288,0
-57.27615356,0
-57.13726425,0
-56.99837494,0
-56.85948563,0
-56.72059631,0
-56.581707,0
-56.44281769,0
-56.30392838,0
-56.16503906,0
-56.02614975,0
-55.88726044,0
-55.74837494,0
-55.60948563,0
-55.47059631,0
-55.331707,0
-55.19281769,0
-55.05392838,0
-54.91503906,0
-54.77614975,0
-54.63726044,0
-54.49837112,0
-54.35948181,0
-54.22059631,0
-54.081707,0
-53.94281769,0
-53.80392838,0
-53.66503906,0
-53.52614975,0
-53.38726044,0
-53.24837112,0
-53.10948181,0
-52.9705925,0
-52.83170319,0
-52.69281387,0
-52.55392838,0
-52.41503906,0
-52.27614975,0
-52.13726044,0
-51.99837112,0
-51.85948181,0
-51.7205925,0
-51.58170319,0
-51.44281387,0
-51.30392456,0
-51.16503525,0
-51.02614975,0
-50.88726044,0
-50.74837112,0
-50.60948181,0
-50.4705925,0
-50.33170319,0
-50.19281387,0
-50.05392456,0
-49.91503525,0
-49.77614594,0
-49.63725662,0
-49.49837112,0
-49.35948181,0
-49.2205925,0
-49.08170319,0
-48.94281387,0
-48.80392456,0
-48.66503525,0
-48.52614594,0
-48.38725662,0
-48.24836731,0
-48.10948181,0
-47.9705925,0
-47.83170319,0
-47.69281387,0
-47.55392456,0
-47.41503525,0
-47.27614594,0
-47.13725662,0
-46.99836731,0
-46.859478,0
-46.7205925,0
-46.58170319,0
-46.44281387,0
-46.30392456,0
-46.16503525,0
-46.02614594,0
-45.88725662,0
-45.74836731,0
-45.609478,0
-45.47058868,0
-45.33170319,0
-45.19281387,0
-45.05392456,0
-44.91503525,0
-44.77614594,0
-44.63725662,0
-44.49836731,0
-44.359478,0
-44.22058868,0
-44.08170319,0
-43.94281387,0
-43.80392456,0
-43.66503525,0
-43.52614594,0
-43.38725662,0
-43.24836731,0
-43.109478,0
-42.97058868,0
-42.83170319,0
-42.69281387,0
-42.55392456,0
-42.41503525,0
-42.27614594,0
-42.13725662,0
-41.99836731,0
-41.859478,0
-41.72058868,0
-41.58170319,0
-41.44281387,0
-41.30392456,0
-41.16503525,0
-41.02614594,0
-40.88725662,0
-40.74836731,0
-40.609478,0
-40.47058868,0
-40.33170319,0
-40.19281387,0
-40.05392456,0
-39.91503525,0
-39.77614594,0
-39.63725662,0
-39.49836731,0
-39.359478,0
-39.22058868,0
-39.08170319,0
-38.94281387,0
-38.80392456,0
-38.66503525,0
-38.52614594,0
-38.38725662,0
-38.24836731,0
-38.109478,0
-37.97058868,0
-37.83170319,0
-37.69281387,0
-37.55392456,0
-37.41503525,0
-37.27614594,0
-37.13725662,0
-36.99836731,0
-36.859478,0
-36.7205925,0
-36.58170319,0
-36.44281387,0
-36.30392456,0
-36.16503525,0
-36.02614594,0
-35.88725662,0
-35.74836731,0
-35.609478,0
-35.4705925,0
-35.33170319,0
-35.19281387,0
-35.05392456,0
-34.91503525,0
-34.77614594,0
-34.63725662,0
-34.49836731,0
-34.359478,0
-34.2205925,0
-34.08170319,0
-33.94281387,0
-33.80392456,0
-33.66503525,0
-33.52614594,0
-33.38725662,0
-33.24836731,0
-33.10948181,0
-32.9705925,0
-32.83170319,0
-32.69281387,0
-32.55392456,0
-32.41503525,0
-32.27614594,0
-32.13725662,0
-31.99836922,0
-31.8594799,0
-31.72059059,0
-31.58170319,0
-31.44281387,0
-31.30392456,0
-31.16503525,0
-31.02614594,0
-30.88725853,0
-30.74836922,0
-30.6094799,0
-30.47059059,0
-30.33170319,0
-30.19281387,0
-30.05392456,0
-29.91503525,0
-29.77614594,0
-29.63725853,0
-29.49836922,0
-29.3594799,0
-29.22059059,0
-29.08170319,0
-28.94281387,0
-28.80392456,0
-28.66503525,0
-28.52614784,0
-28.38725853,0
-28.24836922,0
-28.1094799,0
-27.97059059,0
-27.83170319,0
-27.69281387,0
-27.55392456,0
-27.41503525,0
-27.27614784,0
-27.13725853,0
-26.99836922,0
-26.8594799,0
-26.72059059,0
-26.58170319,0
-26.44281387,0
-26.30392456,0
-26.16503525,0
-26.02614784,0
-25.88725853,0
-25.74836922,0
-25.6094799,0
-25.47059059,0
-25.33170319,0
-25.19281387,0
-25.05392456,0
-24.91503525,0
-24.77614784,0
-24.63725853,0
-24.49836922,0
-24.3594799,0
-24.22059059,0
-24.08170319,0
-23.94281387,0
-23.80392456,0
-23.66503525,0
-23.52614784,0
-23.38725853,0
-23.24836922,0
-23.1094799,0
-22.97059059,0
-22.83170319,0
-22.69281387,0
-22.55392456,0
-22.41503525,0
-22.27614784,0
-22.13725853,0
-21.99836922,0
-21.8594799,0
-21.72059059,0
-21.58170319,0
-21.44281387,0
