,acce_x,acce_y,drivetorque_fl_fb,drivetorque_fr_fb,drivetorque_rl_fb,drivetorque_rr_fb,gauss_heading,gauss_v,gauss_x,gauss_y,steerangle_fb
196,-0.158837721,10.46806145,39,37,39,35,-2.019985583,1.430179814,4546375.622,-88775.71163,-31
197,0.024649048,9.810456276,37,37,37,35,-2.015133436,1.396082815,4546375.634,-88775.80447,-31
198,-0.200723588,9.578352928,37,37,37,35,-2.017272354,1.400187554,4546375.703,-88775.93046,-31
199,-0.1400287,9.482020378,41,37,39,39,-2.019985982,1.382511133,4546375.726,-88776.02317,-31
200,0.126866207,8.837784767,41,39,39,39,-2.018362919,1.384502114,4546375.784,-88776.14929,-31
201,0.322650433,9.482126236,39,37,37,39,-2.015699358,1.319924625,4546375.84,-88776.21624,-31
202,0.12234287,10.6611433,37,37,39,39,-2.014486554,1.301721904,4546375.898,-88776.34236,-31
203,0.051505119,10.5237627,41,41,41,39,-2.013843667,1.257143283,4546375.921,-88776.40972,-31
204,0.146906137,9.544691086,41,41,41,41,-2.012887859,1.247963462,4546375.967,-88776.52752,-31
205,0.032858022,9.483492851,39,41,41,41,-2.011451749,1.198424143,4546375.99,-88776.59487,-31
206,-0.107639596,9.191871643,41,41,41,41,-2.010754933,1.193448029,4546376.036,-88776.71267,-31
207,0.355555892,9.821253777,41,41,41,41,-2.010842285,1.144970799,4546376.093,-88776.78808,-31
208,0.043191317,10.65598774,41,41,41,41,-2.009814305,1.090350722,4546376.128,-88776.88911,-31
209,0.028096238,10.41878033,41,41,41,41,-2.008011744,1.056054906,4546376.151,-88776.99027,-31
210,0.177610889,9.140069008,41,41,41,41,-2.008090174,1.04279602,4546376.186,-88777.0913,-31
211,-0.24063836,9.704979897,41,41,41,41,-2.009970632,0.982124526,4546376.232,-88777.17529,-31
212,-0.06248533,10.41332912,41,44,41,41,-2.010325898,0.977985537,4546376.266,-88777.26786,-31
213,0.241384104,9.982356071,41,44,41,44,-2.007665267,0.947617816,4546376.323,-88777.35172,-31
214,0.332861215,9.752842903,44,44,44,44,-2.007247417,0.910401399,4546376.358,-88777.43585,-31
215,-6.51E-05,9.586408615,44,46,48,44,-2.009857581,0.860410365,4546376.403,-88777.51984,-31
216,0.209783256,9.898337364,50,50,50,44,-2.012207554,0.845245553,4546376.438,-88777.59551,-31
217,0.255450398,10.14545631,50,50,50,44,-2.012603167,0.838200021,4546376.473,-88777.69654,-31
218,0.08000461,9.780265808,50,50,50,50,-2.011863208,0.812693935,4546376.507,-88777.77221,-31
219,0.240139052,9.470077515,50,50,50,50,-2.01262607,0.816117681,4546376.553,-88777.87311,-31
220,0.270037979,9.608728409,52,50,52,50,-2.014825042,0.78430768,4546376.576,-88777.94891,-31
221,-0.01118084,9.680434227,52,50,52,50,-2.015367262,0.789668296,4546376.633,-88778.04968,-31
222,0.115453854,10.29914474,52,50,52,50,-2.014479497,0.759487134,4546376.656,-88778.11703,-31
223,-0.01849205,10.05830383,52,50,52,50,-2.014357125,0.757172755,4546376.713,-88778.21779,-31
224,0.109936565,9.704382896,52,50,52,50,-2.015563004,0.736477432,4546376.737,-88778.28515,-31
225,0.171854347,9.601439476,52,50,52,50,-2.016811095,0.750930233,4546376.794,-88778.40281,-31
226,0.097947948,9.814951897,52,50,52,50,-2.017285537,0.735229634,4546376.817,-88778.47017,-31
227,0.219864681,9.877343178,52,52,52,50,-2.017307375,0.744230576,4546376.874,-88778.58784,-31
228,0.328128457,9.663125038,52,52,52,50,-2.017312967,0.716670011,4546376.897,-88778.65519,-31
229,-0.062856324,9.611721039,52,52,52,50,-2.017901126,0.733889986,4546376.955,-88778.7644,-31
230,0.158888429,9.916780472,52,52,52,50,-2.019275184,0.720104455,4546376.989,-88778.83162,-31
231,-0.001019862,9.924693108,52,52,52,50,-2.020414085,0.752727048,4546377.035,-88778.94942,-31
232,0.289958894,9.684967041,52,52,52,50,-2.021480415,0.73091343,4546377.069,-88779.01664,-31
233,0.70500958,9.776437759,52,52,52,50,-2.022315715,0.723787517,4546377.115,-88779.13444,-31
234,0.100617759,9.862613678,52,52,52,50,-2.021572427,0.684563226,4546377.139,-88779.2018,-31
235,0.374465019,9.947458267,52,52,52,50,-2.019191428,0.703862398,4546377.218,-88779.31075,-31
236,0.520159602,9.901441574,52,52,52,52,-2.018810063,0.670033865,4546377.241,-88779.3781,-31
237,0.268429369,9.577802658,52,52,52,52,-2.021153778,0.661385295,4546377.321,-88779.4786,-31
238,0.357307941,9.483712196,52,52,52,52,-2.02280374,0.644518816,4546377.355,-88779.53737,-31
239,0.54509151,9.822313309,52,52,52,52,-2.0218972,0.66069429,4546377.412,-88779.64658,15
240,0.016025944,10.14694691,52,52,52,52,-2.020310089,0.625446993,4546377.446,-88779.6969,15
241,0.152735099,9.778089523,50,50,50,52,-2.021059635,0.645643997,4546377.492,-88779.80625,15
242,0.252303988,9.747562408,50,50,50,52,-2.023187235,0.61848795,4546377.526,-88779.86501,15
243,0.309205562,9.840470314,50,50,50,52,-2.023819336,0.627662822,4546377.606,-88779.96551,15
244,0.162349746,9.991830826,50,50,50,50,-2.023533712,0.610906569,4546377.629,-88780.01596,15
245,0.198123515,9.68016243,50,50,50,50,-2.023711345,0.638464162,4546377.719,-88780.11632,15
